count,asn_no,asn_org
66,31815,"Media Temple, Inc."
65,32097,WII
65,57497,Faraso Samaneh Pasargad Ltd.
65,15133,EDGECAST
65,8100,QuadraNet Enterprises LLC
65,53850,GORILLASERVERS
64,3352,Telefonica De Espana
64,50321,FOP Reznichenko Sergey Mykolayovich
64,17552,"True Internet Co.,Ltd."
64,204650,Toloe Rayaneh Loghman Educational and Cultural Co.
64,15626,ITL LLC
63,42960,VH Global Limited
63,48881,Data Node Srl
63,17621,China Unicom Shanghai network
63,17775,shanghai science and technology network communication limited company
63,17964,"Beijing Dian-Xin-Tong Network Technologies Co., Ltd."
63,262186,TV AZTECA SUCURSAL COLOMBIA
63,34702,Aktsiaselts WaveCom
62,201194,Kavoshgar Novin Karamad Co.Ltd
62,2519,ARTERIA Networks Corporation
62,51570,JSC ER-Telecom Holding
62,15830,Equinix (EMEA) Acquisition Enterprises B.V.
62,836,WHITE-PLAINS-HOSPITAL
61,136258,"BrainStorm Network, Inc"
61,9312,xTom
61,134238,CHINANET Jiangx province IDC network
61,9762,HYUNDAI COMMUNICATIONS NETWORK
60,23470,RELIABLESITE
60,42925,Internet Rimon LTD
60,54574,DMIT-LEGACY
60,9924,"Taiwan Fixed Network, Telco and Network Service Provider."
60,896,FORTLAB
60,7470,"TRUE INTERNET Co.,Ltd."
60,48716,PS Internet Company LLP
59,919,HOWARD-UNIV
59,10175,Kumho Cable
59,60976,Pars Online PJS
59,201691,Fannavari Etelaate Samane Kavoshgar Ide Ltd.
59,27951,Media Commerce Partners S.A
59,18049,Taiwan Infrastructure Network Technologie
59,8849,Melbikomas UAB
58,64270,PACIFICRACK
58,8551,Bezeq International
58,702,UUNET
58,46573,Global Frag Networks
58,34804,LLC Powernet
58,934,BSI
58,212482,Xhost Internet Solutions Lp
57,29182,JSC ISPsystem
57,116,TELCORDIA
57,3842,RAMNODE
57,62442,Dade Samane Fanava Company (PJS)
57,62838,REPRISE-HOSTING
57,4594,Internet Solutions Limited
56,9689,SK Broadband Co Ltd
56,9459,Konkuk University
56,138311,Limerick Technologies Pvt Ltd
56,9848,Sejong Telecom
56,13649,ASN-VINS
56,209638,"Parsian Technology Innovative Solution Co., PJS."
55,105,MOT-MCD-AS
55,2200,Renater
55,45474,NEXUSGUARD LIMITED
55,40509,FLY
54,205220,RH & Co. IT Services Ltd
54,52000,Innovation IT Solutions LTD
54,7575,Australian Academic and Research Network AARNet
54,204601,Zomro B.V.
54,9978,The University of Seoul
54,54574,DMIT Inc.
54,14576,HOSTING-SOLUTIONS
53,12182,INTERNAP-2BLK
53,399626,GROUP-IID-002
53,206804,EstNOC OY
53,38283,CHINANET SiChuan Telecom Internet Data Center
53,20454,SECURED SERVERS LLC
53,43205,Bulsatcom EOOD
53,48347,JSC Mediasoft ekspert
53,206281,Stichting DIGI NL
53,211415,"Karolio IT paslaugos, UAB"
53,48715,Sefroyek Pardaz Engineering PJSC
53,6799,OTEnet S.A.
53,202425,IP Volume inc
52,53158,Net Turbo Telecom
52,18310,SK Broadband Co Ltd
52,204601,TORAT Private Enterprise
52,5410,Bouygues Telecom SA
52,199366,Yesilbir Bilisim Teknolojileri Bilgisayar Yayincilik Sanayi ve Ticaret Ltd. Sti.
52,37611,Afrihost
52,211895,Serverius Holding B.V.
52,400304,REDOUBT-NET
51,34636,Laser Company Ltd
51,23700,Linknet-Fastnet ASN
51,9534,Binariang Berhad
51,11086,PITNEYBOWES-AS-1
51,209641,I-servers Ltd
51,3842,RamNode LLC
51,15611,Iranian Research Organization for Science & Technology
51,9198,JSC Kazakhtelecom
51,10912,INTERNAP-BLK
50,20857,Transip B.V.
50,42831,UK Dedicated Servers Limited
50,22611,INMOTION
